element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
426,B.Fernandes,MUN,MID,12.0,51.923494549843426,6,8.653915758307237,4.3269578791536185
12,Saka,ARS,MID,9.5,37.045598094519775,6,6.174266349086629,3.8995366415283974
165,João Pedro,CHE,FWD,7.7,35.70878397037545,6,5.951463995062575,4.637504411737071
411,Haaland,MCI,FWD,15.5,35.61830481356275,6,5.936384135593792,2.297955149262113
427,Mbeumo,MUN,MID,7.9,32.35919019251149,6,5.3931983654185816,4.096100024368543
154,Palmer,CHE,MID,9.6,31.95544079231155,6,5.3259067987185915,3.3286917491991197
115,De Cuyper,BHA,DEF,4.7,31.083260798609334,6,5.180543466434889,6.613459744384964
398,Foden,MCI,MID,7.0,29.44079577481873,6,4.906799295803122,4.205827967831247
40,Rogers,CHE,MID,7.5,28.834739989629295,6,4.805789998271549,3.8446319986172393
388,Guéhi,MCI,DEF,6.0,28.099360022400347,6,4.683226670400058,4.683226670400058
480,Gibbs-White,NFO,MID,7.9,27.96470418343529,6,4.6607840305725485,3.5398359725867454
4,Gabriel,ARS,DEF,8.0,27.593897289041507,6,4.598982881506918,3.4492371611301884
8,Calafiori,ARS,DEF,5.7,27.269571991412896,6,4.544928665235482,4.784135437089981
10,White,ARS,DEF,5.5,27.21844663921979,6,4.536407773203298,4.948808479858143
368,Szoboszlai,LIV,MID,7.0,27.076745658472557,6,4.51279094307876,3.8681065226389366
565,M.Sangaré,BRE,MID,5.7,26.48490093227268,6,4.41415015537878,4.646473847767137
224,Nketiah,CRY,FWD,5.5,26.447098382232866,6,4.407849730372145,4.808563342224158
316,Emersonn,IPS,FWD,5.5,26.085440459000242,6,4.347573409833374,4.742807356181863
106,Thiago,BRE,FWD,8.0,25.84127235567535,6,4.306878725945892,3.230159044459419
379,Isak,LIV,FWD,9.0,25.360147217479525,6,4.226691202913254,2.817794135275503
397,Semenyo,MCI,MID,8.5,25.07909888695987,6,4.179849814493312,2.9504822219952787
387,O'Reilly,MCI,DEF,6.5,24.502751201131503,6,4.08379186685525,3.769654030943308
367,Gakpo,LIV,MID,7.1,24.41234307180206,6,4.068723845300343,3.438358179127051
335,Stach,LEE,MID,6.0,24.30430631073066,6,4.05071771845511,4.05071771845511
