gw,fixture,team,opponent,home,fdr,xg_for,xg_against,p_clean_sheet
3,21,IPS,LIV,True,4,1.909,1.982,0.1378
3,21,LIV,IPS,False,2,1.982,1.909,0.1483
3,22,BRE,SUN,True,2,2.076,1.117,0.3271
3,22,SUN,BRE,False,3,1.117,2.076,0.1254
3,23,BHA,LEE,True,2,2.059,1.164,0.3122
3,23,LEE,BHA,False,3,1.164,2.059,0.1276
3,24,FUL,CRY,True,3,1.52,1.306,0.271
3,24,CRY,FUL,False,3,1.306,1.52,0.2187
3,25,HUL,AVL,True,3,1.48,1.138,0.3204
3,25,AVL,HUL,False,2,1.138,1.48,0.2277
3,26,MCI,COV,True,2,2.189,0.769,0.4633
3,26,COV,MCI,False,5,0.769,2.189,0.1121
3,27,NEW,BOU,True,3,1.742,1.772,0.17
3,27,BOU,NEW,False,3,1.772,1.742,0.1751
3,28,NFO,TOT,True,3,1.95,1.055,0.3481
3,28,TOT,NFO,False,3,1.055,1.95,0.1423
3,29,ARS,CHE,True,4,2.158,0.931,0.394
3,29,CHE,ARS,False,5,0.931,2.158,0.1156
3,30,EVE,MUN,True,4,1.715,2.579,0.0758
3,30,MUN,EVE,False,3,2.579,1.715,0.1799
4,31,AVL,NFO,True,3,1.469,1.399,0.2468
4,31,NFO,AVL,False,4,1.399,1.469,0.2301
4,32,BOU,BRE,True,3,1.877,1.904,0.149
4,32,BRE,BOU,False,3,1.904,1.877,0.153
4,33,CHE,HUL,True,2,1.999,1.112,0.329
4,33,HUL,CHE,False,4,1.112,1.999,0.1354
4,34,CRY,IPS,True,2,1.584,1.311,0.2697
4,34,IPS,CRY,False,3,1.311,1.584,0.2051
4,35,LIV,FUL,True,2,2.542,1.423,0.241
4,35,FUL,LIV,False,4,1.423,2.542,0.0787
4,36,SUN,ARS,True,4,0.728,1.64,0.1939
4,36,ARS,SUN,False,3,1.64,0.728,0.4831
4,37,TOT,EVE,True,3,1.59,1.553,0.2116
4,37,EVE,TOT,False,3,1.553,1.59,0.204
4,38,COV,BHA,True,2,1.337,1.446,0.2356
4,38,BHA,COV,False,2,1.446,1.337,0.2626
4,39,MUN,MCI,True,4,1.969,2.139,0.1177
4,39,MCI,MUN,False,4,2.139,1.969,0.1396
4,40,LEE,NEW,True,2,1.785,1.273,0.2799
4,40,NEW,LEE,False,3,1.273,1.785,0.1678
5,41,BRE,CHE,True,4,2.189,1.784,0.168
5,41,CHE,BRE,False,3,1.784,2.189,0.112
5,42,BHA,ARS,True,4,1.055,1.607,0.2004
5,42,ARS,BHA,False,3,1.607,1.055,0.3484
5,43,EVE,IPS,True,2,1.739,1.452,0.234
5,43,IPS,EVE,False,3,1.452,1.739,0.1757
5,44,LEE,CRY,True,3,1.536,1.173,0.3094
5,44,CRY,LEE,False,3,1.173,1.536,0.2152
5,45,MCI,SUN,True,2,2.396,0.768,0.464
5,45,SUN,MCI,False,5,0.768,2.396,0.0911
5,46,NEW,HUL,True,2,1.4,1.27,0.2808
5,46,HUL,NEW,False,3,1.27,1.4,0.2466
5,47,NFO,COV,True,2,1.416,1.041,0.3531
5,47,COV,NFO,False,3,1.041,1.416,0.2426
5,48,TOT,AVL,True,3,1.557,1.557,0.2108
5,48,AVL,TOT,False,3,1.557,1.557,0.2107
5,49,BOU,LIV,True,4,2.221,2.008,0.1342
5,49,LIV,BOU,False,3,2.008,2.221,0.1085
5,50,FUL,MUN,True,4,1.633,2.606,0.0739
5,50,MUN,FUL,False,3,2.606,1.633,0.1954
6,51,ARS,LEE,True,2,2.134,0.634,0.5302
6,51,LEE,ARS,False,5,0.634,2.134,0.1184
6,52,AVL,BRE,True,3,1.58,1.873,0.1537
6,52,BRE,AVL,False,4,1.873,1.58,0.2059
6,53,CHE,BOU,True,3,2.488,1.551,0.212
6,53,BOU,CHE,False,4,1.551,2.488,0.0831
6,54,COV,NEW,True,2,1.644,1.115,0.3278
6,54,NEW,COV,False,2,1.115,1.644,0.1931
6,55,CRY,NFO,True,3,1.335,1.289,0.2756
6,55,NFO,CRY,False,3,1.289,1.335,0.2632
6,56,HUL,EVE,True,3,1.511,1.135,0.3214
6,56,EVE,HUL,False,2,1.135,1.511,0.2208
6,57,IPS,FUL,True,2,1.83,1.327,0.2652
6,57,FUL,IPS,False,2,1.327,1.83,0.1604
6,58,LIV,MCI,True,4,1.54,2.325,0.0977
6,58,MCI,LIV,False,4,2.325,1.54,0.2145
6,59,MUN,TOT,True,3,3.521,1.236,0.2907
6,59,TOT,MUN,False,4,1.236,3.521,0.0296
6,60,SUN,BHA,True,2,1.335,1.583,0.2054
6,60,BHA,SUN,False,3,1.583,1.335,0.2632
7,61,BOU,SUN,True,2,1.835,1.249,0.2867
7,61,SUN,BOU,False,3,1.249,1.835,0.1597
7,62,BRE,LIV,True,4,2.513,1.796,0.166
7,62,LIV,BRE,False,3,1.796,2.513,0.081
7,63,BHA,CRY,True,3,2.047,1.102,0.3321
7,63,CRY,BHA,False,3,1.102,2.047,0.1291
7,64,EVE,CHE,True,4,1.624,2.003,0.1349
7,64,CHE,EVE,False,3,2.003,1.624,0.197
7,65,FUL,HUL,True,2,1.348,1.224,0.2941
7,65,HUL,FUL,False,3,1.224,1.348,0.2598
7,66,LEE,MUN,True,4,1.65,2.341,0.0962
7,66,MUN,LEE,False,3,2.341,1.65,0.192
7,67,MCI,IPS,True,2,2.705,0.889,0.4111
7,67,IPS,MCI,False,5,0.889,2.705,0.0669
7,68,NEW,AVL,True,3,1.714,1.492,0.225
7,68,AVL,NEW,False,3,1.492,1.714,0.1801
7,69,NFO,ARS,True,4,0.828,1.56,0.21
7,69,ARS,NFO,False,3,1.56,0.828,0.4368
7,70,TOT,COV,True,2,1.264,1.376,0.2526
7,70,COV,TOT,False,3,1.376,1.264,0.2825
8,71,ARS,EVE,True,3,2.351,0.66,0.5171
8,71,EVE,ARS,False,5,0.66,2.351,0.0953
8,72,AVL,MCI,True,4,1.086,2.162,0.1151
8,72,MCI,AVL,False,4,2.162,1.086,0.3376
8,73,CHE,TOT,True,3,2.735,1.17,0.3104
8,73,TOT,CHE,False,4,1.17,2.735,0.0649
8,74,COV,FUL,True,2,1.584,1.074,0.3418
8,74,FUL,COV,False,2,1.074,1.584,0.2051
8,75,CRY,NEW,True,2,1.691,1.266,0.282
8,75,NEW,CRY,False,3,1.266,1.691,0.1844
8,76,HUL,BRE,True,3,1.345,1.53,0.2166
8,76,BRE,HUL,False,2,1.53,1.345,0.2604
8,77,IPS,NFO,True,3,1.5,1.404,0.2457
8,77,NFO,IPS,False,2,1.404,1.5,0.2231
8,78,LIV,BHA,True,2,2.145,1.916,0.1472
8,78,BHA,LIV,False,4,1.916,2.145,0.117
8,79,MUN,BOU,True,3,3.203,1.638,0.1944
8,79,BOU,MUN,False,4,1.638,3.203,0.0406
8,80,SUN,LEE,True,2,1.421,1.188,0.3048
8,80,LEE,SUN,False,3,1.188,1.421,0.2416
9,81,AVL,FUL,True,2,1.793,1.323,0.2664
9,81,FUL,AVL,False,4,1.323,1.793,0.1665
9,82,BOU,LEE,True,2,1.913,1.359,0.2569
