element,web_name,team,pos,price,n_matches,p_start,p_play,p_60,exp_minutes,avail_mult,flag,news
40,Rogers,CHE,MID,7.7,5,0.988,0.988,0.93,86.7,1.0,,
481,Anderson,MCI,MID,6.3,5,0.988,0.988,0.93,83.4,1.0,100% sjanse,
112,Van Hecke,TOT,DEF,4.9,5,0.985,0.985,0.927,88.4,1.0,,
61,Truffert,BOU,DEF,5.4,5,0.98,0.98,0.922,87.9,1.0,,
226,Pickford,EVE,GK,5.5,5,0.98,0.98,0.922,88.2,1.0,,
109,Verbruggen,BHA,GK,4.5,5,0.98,0.98,0.922,88.2,1.0,,
57,Petrović,BOU,GK,4.5,5,0.98,0.98,0.922,88.2,1.0,,
356,Virgil,LIV,DEF,6.5,5,0.98,0.98,0.922,88.2,1.0,,
250,Leno,FUL,GK,4.5,5,0.98,0.98,0.922,88.2,1.0,,
397,Semenyo,MCI,MID,8.4,5,0.973,0.973,0.916,86.6,1.0,,
106,Thiago,BRE,FWD,7.8,5,0.973,0.973,0.916,85.9,1.0,,
82,Kelleher,BRE,GK,5.0,5,0.973,0.973,0.916,87.6,1.0,,
229,Tarkowski,EVE,DEF,6.1,5,0.973,0.973,0.916,87.6,1.0,,
1,Raya,ARS,GK,6.1,5,0.973,0.973,0.916,87.6,1.0,,
384,Donnarumma,MCI,GK,5.5,5,0.971,0.971,0.914,87.4,1.0,,
455,Tonali,TOT,MID,5.3,5,0.97,0.97,0.913,81.4,1.0,100% sjanse,
204,Mitchell,CRY,DEF,4.5,5,0.966,0.966,0.909,82.1,1.0,,
368,Szoboszlai,LIV,MID,7.0,5,0.966,0.966,0.909,85.5,1.0,,
469,N.Williams,NFO,DEF,5.0,5,0.966,0.966,0.909,86.3,1.0,,
480,Gibbs-White,NFO,MID,8.0,5,0.959,0.959,0.903,85.4,1.0,100% sjanse,
388,Guéhi,MCI,DEF,6.0,5,0.959,0.959,0.903,86.3,1.0,,
426,B.Fernandes,MUN,MID,11.9,5,0.959,0.959,0.903,85.7,1.0,,
529,Roefs,SUN,GK,4.9,5,0.959,0.959,0.903,86.3,1.0,,
338,Ampadu,LEE,MID,5.4,5,0.959,0.959,0.903,86.1,1.0,,
412,Lammens,MUN,GK,4.9,5,0.956,0.956,0.9,86.0,1.0,,
411,Haaland,MCI,FWD,15.6,5,0.952,0.952,0.896,84.7,1.0,,
69,Scott,BOU,MID,6.1,5,0.952,0.952,0.896,82.5,1.0,,
124,Groß,BHA,MID,5.8,5,0.951,0.951,0.895,85.5,1.0,,
233,Mykolenko,EVE,DEF,4.6,5,0.945,0.945,0.889,85.0,1.0,,
542,E.Le Fée,SUN,MID,5.7,5,0.945,0.945,0.889,82.8,1.0,,
545,Sadiki,SUN,MID,4.9,5,0.945,0.945,0.889,79.0,1.0,,
445,Thiaw,NEW,DEF,5.0,5,0.945,0.945,0.889,84.7,1.0,,
43,Tielemans,MUN,MID,5.8,5,0.94,0.94,0.885,76.8,1.0,100% sjanse,
94,Schade,BRE,MID,6.2,5,0.938,0.938,0.883,81.9,1.0,,
544,Xhaka,SUN,MID,5.5,5,0.938,0.938,0.883,84.2,1.0,,
330,Bogle,LEE,DEF,4.6,5,0.938,0.938,0.883,71.9,1.0,,
79,Evanilson,BOU,FWD,6.0,5,0.938,0.938,0.883,78.6,1.0,,
267,Lukić,IPS,MID,4.9,5,0.937,0.937,0.882,74.9,1.0,,
427,Mbeumo,MUN,MID,7.9,5,0.931,0.931,0.876,82.0,1.0,,
202,Richards,CRY,DEF,5.0,5,0.931,0.931,0.876,83.8,1.0,,
68,Tavernier,BOU,MID,6.1,5,0.931,0.931,0.876,79.3,1.0,,
346,Calvert-Lewin,LEE,FWD,6.0,5,0.93,0.93,0.875,78.7,1.0,,
67,Rayan,BOU,MID,6.3,5,0.925,0.925,0.87,79.0,1.0,,
467,Sels,NFO,GK,5.0,5,0.924,0.924,0.87,82.8,1.0,,
236,Dewsbury-Hall,EVE,MID,6.6,5,0.924,0.924,0.87,82.2,1.0,,
4,Gabriel,ARS,DEF,8.0,5,0.924,0.924,0.87,83.1,1.0,,
428,Cunha,MUN,MID,7.9,5,0.918,0.918,0.863,75.1,1.0,,
261,Iwobi,FUL,MID,5.4,5,0.918,0.918,0.863,75.4,1.0,,
210,Wharton,CRY,MID,5.4,5,0.918,0.918,0.863,78.9,1.0,100% sjanse,
45,McGinn,AVL,MID,5.4,5,0.911,0.911,0.857,75.8,1.0,,
335,Stach,LEE,MID,6.0,5,0.911,0.911,0.857,79.9,1.0,,
257,Bassey,FUL,DEF,4.5,5,0.911,0.911,0.857,82.0,1.0,,
366,Wirtz,LIV,MID,7.3,5,0.904,0.904,0.85,73.1,1.0,,
259,Diop,IPS,DEF,4.0,5,0.901,0.901,0.848,80.8,1.0,,
350,A.Becker,LIV,GK,5.5,5,0.897,0.897,0.844,80.7,1.0,,
127,Gomez,BHA,MID,5.0,5,0.897,0.897,0.844,74.7,1.0,,
184,Grimes,COV,MID,4.9,5,0.892,0.892,0.839,77.4,1.0,,
280,Coyle,HUL,DEF,4.0,5,0.892,0.892,0.839,65.3,1.0,100% sjanse,
557,Tzolis,ARS,MID,6.3,5,0.892,0.892,0.839,67.1,1.0,,
486,McAtee,NFO,MID,5.5,5,0.892,0.892,0.839,74.0,1.0,,
277,Egan,HUL,DEF,4.1,5,0.892,0.892,0.839,76.7,1.0,,
569,Gonzalo,FUL,FWD,6.0,5,0.892,0.892,0.839,75.2,1.0,,
286,Belloumi,HUL,MID,5.1,5,0.892,0.892,0.839,71.2,1.0,,
279,Ajayi,HUL,DEF,4.2,5,0.892,0.892,0.839,74.9,1.0,100% sjanse,
282,Giles,HUL,DEF,4.0,5,0.892,0.892,0.839,77.6,1.0,,
551,N.Angulo,SUN,MID,5.0,5,0.892,0.892,0.839,60.9,1.0,,
334,Muharemović,LEE,DEF,5.0,5,0.892,0.892,0.839,78.3,1.0,,
385,Trafford,LEE,GK,5.0,5,0.892,0.892,0.839,78.3,1.0,,
