element,fixture,round,was_home,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,total_points,expected_goals,expected_assists,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,team,opponent,gw
1,1,1,True,90,1,0,0,1,0,0,0,0,0,0,1,0,24,6,0.0,0.0,0.2,0,1,8,0,1,7,1
1,20,2,False,90,1,0,0,1,0,0,0,0,0,0,0,0,21,6,0.0,0.0,0.33,0,1,11,0,1,2,2
1,29,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,6,3
10,1,1,True,90,1,0,1,1,0,0,0,0,0,0,0,2,37,11,0.18,0.21,0.2,5,4,3,1,1,7,1
10,20,2,False,90,1,0,0,1,0,0,0,0,0,0,0,1,26,7,0.0,0.05,0.33,4,3,2,1,1,2,2
10,29,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,6,3
100,2,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,19,1
100,17,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,13,2
100,22,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,20,3
101,10,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,10,1
101,16,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,5,2
101,29,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,1,3
102,2,1,True,23,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.04,0.0,0.1,6,1,3,2,4,19,1
102,17,2,False,21,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0.0,0.01,1.32,0,0,0,0,4,13,2
102,22,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,20,3
103,2,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,19,1
103,17,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,13,2
103,22,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,20,3
104,1,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,8,2,0.0,0.01,1.88,9,3,5,1,7,1,1
104,13,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7,11,2
104,26,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7,15,3
105,2,1,True,23,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.03,0.35,0.1,8,0,6,2,4,19,1
105,17,2,False,60,1,0,0,1,0,0,0,0,1,0,0,0,4,2,0.11,0.06,0.09,1,0,1,0,4,13,2
105,22,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,20,3
106,2,1,True,82,1,0,0,1,0,0,0,1,0,0,0,0,-3,0,1.0,0.08,0.5,5,1,4,0,4,19,1
106,17,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0.8,0.01,1.46,4,0,3,1,4,13,2
106,22,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,20,3
107,2,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,19,1
107,17,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,13,2
