fixture,team,opponent,was_home,gw,xg_for,xa_for,goals_for,player_minutes,def_contrib,xg_against,goals_against
1,1,7,True,1,1.88,0.93,3,985,65,0.21,0
1,7,1,False,1,0.21,0.24,0,986,76,1.88,3
2,4,19,True,1,3.91,1.91,3,985,96,0.5700000000000001,0
2,19,4,False,1,0.5700000000000001,0.43,0,987,76,3.91,3
3,8,9,False,1,1.97,1.39,0,987,97,1.12,2
3,9,8,True,1,1.12,0.8800000000000001,2,988,89,1.97,0
4,11,16,True,1,1.08,0.59,2,985,94,1.8199999999999998,0
4,16,11,False,1,1.8199999999999998,1.9300000000000002,0,986,49,1.08,2
5,12,20,True,1,1.79,1.01,2,985,92,0.6699999999999999,1
5,20,12,False,1,0.6699999999999999,0.83,1,985,57,1.79,2
6,13,18,False,1,0.47,0.35000000000000003,1,988,86,0.65,0
6,18,13,True,1,0.65,0.75,0,988,62,0.47,1
7,2,5,False,1,0.30000000000000004,0.13,0,934,64,3.77,3
7,5,2,True,1,3.77,1.7,3,985,57,0.30000000000000004,0
8,3,15,False,1,0.65,0.32999999999999996,1,987,82,2.24,2
8,15,3,True,1,2.24,2.2,2,986,49,0.65,1
9,14,17,False,1,3.01,0.76,2,986,70,1.58,2
9,17,14,True,1,1.58,0.74,2,987,96,3.01,2
10,6,10,False,1,2.23,0.85,3,985,81,1.38,2
10,10,6,True,1,1.38,0.67,2,986,69,2.23,3
11,8,15,True,2,0.68,0.33,0,985,82,2.2199999999999998,4
11,15,8,False,2,2.2199999999999998,2.61,4,985,54,0.68,0
12,3,9,True,2,2.19,1.47,1,986,84,1.87,1
12,9,3,False,2,1.87,0.34,1,986,96,2.19,1
13,7,11,True,2,1.3,0.8200000000000001,0,985,64,0.72,1
13,11,7,False,2,0.72,0.13,1,987,80,1.3,0
14,14,18,True,2,1.74,1.77,2,985,83,2.3,2
14,18,14,False,2,2.3,1.3800000000000001,2,990,87,1.74,2
15,17,19,False,2,0.72,1.0999999999999999,2,987,64,1.1300000000000001,0
15,19,17,True,2,1.1300000000000001,0.68,0,986,63,0.72,2
16,5,6,False,2,1.46,0.75,2,987,48,3.04,4
16,6,5,True,2,3.04,1.62,4,985,72,1.46,2
17,4,13,False,2,1.6700000000000002,0.86,1,985,101,1.46,1
17,13,4,True,2,1.46,0.23,1,987,104,1.6700000000000002,1
18,12,16,False,2,2.06,0.74,2,986,75,5.15,4
18,16,12,True,2,5.15,1.51,4,985,78,2.06,2
19,10,20,False,2,0.9400000000000001,0.93,0,986,52,2.0300000000000002,1
19,20,10,True,2,2.0300000000000002,0.8300000000000001,1,988,84,0.9400000000000001,0
20,1,2,False,2,1.04,0.8900000000000001,1,986,75,0.34,0
20,2,1,True,2,0.34,0.33,0,986,67,1.04,1
21,12,14,True,3,0.76,0.44,0,986,80,0.69,2
21,14,12,False,3,0.69,0.78,2,988,74,0.76,0
22,4,20,True,3,0.0,0.0,0,0,0,0.0,0
22,20,4,False,3,0.0,0.0,0,0,0,0.0,0
23,5,13,True,3,0.0,0.0,0,0,0,0.0,0
23,13,5,False,3,0.0,0.0,0,0,0,0.0,0
24,8,10,False,3,0.0,0.0,0,0,0,0.0,0
24,10,8,True,3,0.0,0.0,0,0,0,0.0,0
25,2,11,False,3,0.0,0.0,0,0,0,0.0,0
25,11,2,True,3,0.0,0.0,0,0,0,0.0,0
26,7,15,False,3,0.0,0.0,0,0,0,0.0,0
26,15,7,True,3,0.0,0.0,0,0,0,0.0,0
27,3,17,False,3,1.34,0.13,1,363,27,0.06,0
27,17,3,True,3,0.06,0.05,0,320,16,1.34,1
28,18,19,True,3,0.0,0.0,0,0,0,0.0,0
28,19,18,False,3,0.0,0.0,0,0,0,0.0,0
29,1,6,True,3,0.0,0.0,0,0,0,0.0,0
29,6,1,False,3,0.0,0.0,0,0,0,0.0,0
30,9,16,True,3,0.0,0.0,0,0,0,0.0,0
30,16,9,False,3,0.0,0.0,0,0,0,0.0,0
